Taxon_orig,Taxon_orig.authority,中文名,拉丁名,科名,大类,保护等级,href,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,resolved_match_type,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_status,clonality,clonal_means,clonal_type,source,refs,c_score,s_score,r_score,n.prov,invasion_level
Crassocephalum crepidioides,(Benth.) S. Moore,野茼蒿,Crassocephalum crepidioides,菊科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/427,Exact (without author),FALSE,1,0,3084243,Crassocephalum crepidioides,(Benth.) S.Moore,Species,Accepted,NA,199488-1,3084243,1,11,Exact (without author),3084243,199488-1,Species,Accepted,Asteraceae,NA,Crassocephalum,NA,crepidioides,NA,NA,Benth.,S.Moore,NA,J. Bot.,50: 211,-1912,NA,"Trop. & S. Africa, Madagascar",annual,seasonally dry tropical,Crassocephalum crepidioides,(Benth.) S.Moore,3084243,3084150,NA,NA,3134213,199488-1,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,50.31633499388733,0,49.68366500611267,24,2
Erigeron bonariensis,L.,香丝草,Erigeron bonariensis,菊科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/435,Exact (with author),FALSE,1,0,3104918,Erigeron bonariensis,L.,Species,Accepted,NA,93603-2,3104918,0,2,Exact (with author),3104918,93603-2,Species,Accepted,Asteraceae,NA,Erigeron,NA,bonariensis,NA,NA,NA,L.,NA,Sp. Pl.,: 863,-1753,NA,Mexico to Trop. America,annual,subtropical,Erigeron bonariensis,L.,3104918,NA,NA,NA,3133868,93603-2,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,25.96756325673534,54.115127203155666,19.917309540109,NA,2
Xanthium spinosum,L.,刺苍耳,Xanthium spinosum,菊科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/484,Exact (with author),FALSE,1,0,3119695,Xanthium spinosum,L.,Species,Accepted,NA,260892-1,3119695,0,2,Exact (with author),3119695,260892-1,Species,Accepted,Asteraceae,NA,Xanthium,NA,spinosum,NA,NA,NA,L.,NA,Sp. Pl.,: 987,-1753,NA,"C. & E. Canada to Mexico, Peru to S. South America",annual,temperate,Xanthium spinosum,L.,3119695,NA,NA,NA,3133796,260892-1,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,23.10617524909763,53.510856332501376,23.38296841840098,NA,2
Xanthium strumarium,L.,意大利苍耳,Xanthium italicum,菊科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/485,Exact (with author),FALSE,1,0,2901779,Xanthium strumarium,L.,Species,Accepted,NA,260893-1,2901779,0,2,Exact (with author),2901779,260893-1,Species,Accepted,Asteraceae,NA,Xanthium,NA,strumarium,NA,NA,NA,L.,NA,Sp. Pl.,: 987,-1753,NA,"SC. & S. Europe to China and Indo-China, Taiwan, NW. Africa",annual,seasonally dry tropical,Xanthium strumarium,L.,2901779,NA,NA,NA,3133796,260893-1,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,51.53336350094505,24.20353584489758,24.26310065415737,9,2
Synedrella nodiflora,(L.) Gaertn.,金腰箭,Synedrella nodiflora,菊科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/496,Exact (with author),FALSE,1,0,3120699,Synedrella nodiflora,(L.) Gaertn.,Species,Accepted,NA,252024-1,3120699,0,12,Exact (with author),3120699,252024-1,Species,Accepted,Asteraceae,NA,Synedrella,NA,nodiflora,NA,NA,L.,Gaertn.,NA,Fruct. Sem. Pl.,0.4,-1791,NA,Trop. & Subtrop. America,annual or subshrub,seasonally dry tropical,Synedrella nodiflora,(L.) Gaertn.,3120699,3120697,NA,NA,3133771,252024-1,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,79.1654080484441,6.912467187727099,13.9221247638288,13,2
Sphagneticola trilobata,(L.) Pruski,南美蟛蜞菊,Sphagneticola trilobata,菊科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/499,Exact (with author),FALSE,1,0,3122192,Sphagneticola trilobata,(L.) Pruski,Species,Accepted,NA,1093589-2,3122192,0,11,Exact (with author),3122192,1093589-2,Species,Accepted,Asteraceae,NA,Sphagneticola,NA,trilobata,NA,NA,L.,Pruski,NA,Mem. New York Bot. Gard.,78: 114,-1996,NA,Mexico to S. Trop. America and Trinidad,subshrub,seasonally dry tropical,Sphagneticola trilobata,(L.) Pruski,3122192,3122179,NA,NA,3133768,1093589-2,NA,N,Matched to an accepted name,clonal,Stolon,aboveground,PIER,wang et al. 2016,NA,NA,NA,NA,2
Tridax procumbens,L.,羽芒菊,Tridax procumbens,菊科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/500,Exact (with author),FALSE,1,0,3124823,Tridax procumbens,L.,Species,Accepted,NA,257735-2,3124823,0,2,Exact (with author),3124823,257735-2,Species,Accepted,Asteraceae,NA,Tridax,NA,procumbens,NA,NA,NA,L.,NA,Sp. Pl.,: 900,-1753,NA,Mexico to Trop. America,subshrub,seasonally dry tropical,Tridax procumbens,L.,3124823,NA,NA,NA,3133271,257735-2,NA,N,Matched to an accepted name,clonal,Undergound bud,belowground,"Xu & Qiang, 2011",wang et al. 2016,84.90325024206408,0,15.096749757935935,11,2
Galinsoga parviflora,Cav.,牛膝菊,Galinsoga parviflora,菊科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/501,Exact (with author),FALSE,1,0,3125116,Galinsoga parviflora,Cav.,Species,Accepted,NA,208554-1,3125116,0,4,Exact (with author),3125116,208554-1,Species,Accepted,Asteraceae,NA,Galinsoga,NA,parviflora,NA,NA,NA,Cav.,NA,Icon.,3:41,-1795,NA,Mexico to Trop. America,annual,seasonally dry tropical,Galinsoga parviflora,Cav.,3125116,NA,NA,NA,3133272,208554-1,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,16.124745653081746,28.027890218047165,55.8473641288711,32,2
Galinsoga quadriradiata,Ruiz & Pavon,粗毛牛膝菊,Galinsoga quadriradiata,菊科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/502,Exact (without author),FALSE,1,0,3125327,Galinsoga quadriradiata,Ruiz & Pav.,Species,Accepted,NA,208557-1,3125327,2,10,Exact (without author),3125327,208557-1,Species,Accepted,Asteraceae,NA,Galinsoga,NA,quadriradiata,NA,NA,NA,Ruiz & Pav.,NA,Syst. Veg. Fl. Peruv. Chil.,0.179166667,-1798,NA,Mexico to S. Trop. America,annual,seasonally dry tropical,Galinsoga quadriradiata,Ruiz & Pav.,3125327,NA,NA,NA,3133272,208557-1,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,29.382211099478795,0,70.6177889005212,15,2
Hydrocotyle verticillata,Thunb.,南美天胡荽,Hydrocotyle verticillata,五加科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/517,Exact (with author),FALSE,1,0,2856386,Hydrocotyle verticillata,Thunb.,Species,Accepted,NA,843759-1,2856386,0,6,Exact (with author),2856386,843759-1,Species,Accepted,Araliaceae,NA,Hydrocotyle,NA,verticillata,NA,NA,NA,Thunb.,NA,Hydrocotyle,: 5,-1798,NA,"New World, Somalia to S. Africa, Madagascar, Caucasus to N. Iran",helophyte,wet tropical,Hydrocotyle verticillata,Thunb.,2856386,NA,NA,NA,2855897,843759-1,NA,Y,Matched to an accepted name,NA,NA,NA,NA,wang et al. 2016,NA,NA,NA,8,2
Daucus carota,L.,野胡萝卜,Daucus carota,伞形科,被子植物,2 级（严重入侵,https://www.plantplus.cn/ias/info/519,Exact (with author),FALSE,1,0,2757936,Daucus carota,L.,Species,Accepted,NA,841063-1,2757936,0,2,Exact (with author),2757936,841063-1,Species,Accepted,Apiaceae,NA,Daucus,NA,carota,NA,NA,NA,L.,NA,Sp. Pl.,: 242,-1753,NA,"Macaronesia to NW. Africa, Europe to S. China",biennial,temperate,Daucus carota,L.,2757936,NA,NA,NA,2757895,841063-1,NA,N,Matched to an accepted name,clonal,Root turion/Root-splitter,belowground,CLO-PLA3,wang et al. 2016,35.86041837011419,38.40521134382508,25.73437028606073,32,2
Azolla filiculoides,Lam.,细叶满江红,Azolla filiculoides,槐叶??科,蕨类植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/1,Exact (with author),FALSE,1,0,3145489,Azolla filiculoides,Lam.,Species,Accepted,NA,17056950-1,3145489,0,4,Exact (with author),3145489,17056950-1,Species,Accepted,Salviniaceae,NA,Azolla,NA,filiculoides,NA,NA,NA,Lam.,NA,Encycl.,0.279861111,-1783,NA,New World,hydroperennial,temperate,Azolla filiculoides,Lam.,3145489,NA,NA,NA,3189883,17056950-1,NA,N,Matched to an accepted name,clonal,Shoot fragment,aboveground,CLO-PLA3,wang et al. 2016,5.825409205506516,24.23652964638555,69.93806114810793,4,3
Cabomba caroliniana,A. Gray,竹节水松,Cabomba caroliniana,莼菜科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/3,Exact (without author),FALSE,1,0,28282,Cabomba caroliniana,A.Gray,Species,Accepted,NA,273581-2,28282,1,4,Exact (without author),28282,273581-2,Species,Accepted,Cabombaceae,NA,Cabomba,NA,caroliniana,NA,NA,NA,A.Gray,NA,Ann. Lyceum Nat. Hist. New York,4:47,-1837,NA,"C. & E. U.S.A. to NE. Mexico, Brazil to C. Argentina",hydrosubshrub,subtropical,Cabomba caroliniana,A.Gray,28282,NA,NA,NA,28278,273581-2,NA,Y,Matched to an accepted name,clonal,Shoot fragment,aboveground,"Xu & Qiang, 2011",wang et al. 2016,NA,NA,NA,18,3
Pennisetum clandestinum,Hochst. ex Chiov.,铺地狼尾草,Pennisetum clandestinum,禾本科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/62,Exact (with author),FALSE,1,0,432658,Pennisetum clandestinum,Hochst. ex Chiov.,Species,Synonym,TRUE,414980-1,462687,0,17,Exact (with author),462687,77105989-1,Species,Accepted,Poaceae,NA,Cenchrus,NA,clandestinus,NA,NA,Hochst. ex Chiov.,Morrone,NA,Ann. Bot. (Oxford),106: 127,-2010,NA,Eritrea to S. Trop. Africa,perennial or rhizomatous geophyte,seasonally dry tropical,Cenchrus clandestinus,(Hochst. ex Chiov.) Morrone,462687,432658,NA,NA,451210,77105989-1,NA,Y,Matched to an accepted name,clonal,Stolon/Rhizome,both,Flora of China,wang et al. 2016,NA,NA,NA,5,3
Pennisetum purpureum,Schumach.,象草,Pennisetum purpureum,禾本科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/64,Exact (with author),FALSE,1,0,432901,Pennisetum purpureum,Schumach.,Species,Synonym,TRUE,415202-1,462651,0,9,Exact (with author),462651,77106033-1,Species,Accepted,Poaceae,NA,Cenchrus,NA,purpureus,NA,NA,Schumach.,Morrone,NA,Ann. Bot. (Oxford),106: 129,-2010,NA,"Sahara to Trop. Africa, Aldabra, Arabian Pen.",perennial or rhizomatous geophyte,seasonally dry tropical,Cenchrus purpureus,(Schumach.) Morrone,462651,432901,NA,NA,451210,77106033-1,NA,Y,Matched to an accepted name,clonal,Tiller/Adventitious root,both,Flora of China,wang et al. 2016,NA,NA,NA,NA,3
Melinis repens,(Willd.) Zizka,红毛草,Melinis repens,禾本科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/65,Exact (with author),FALSE,1,0,423957,Melinis repens,(Willd.) Zizka,Species,Accepted,NA,2945817-1,423957,0,14,Exact (with author),423957,2945817-1,Species,Accepted,Poaceae,NA,Melinis,NA,repens,NA,NA,Willd.,Zizka,NA,Biblioth. Bot.,38(138): 55,-1988,NA,Africa to Arabian Pen.,annual or perennial,seasonally dry tropical,Melinis repens,(Willd.) Zizka,423957,440023,NA,NA,423885,2945817-1,NA,Y,Matched to an accepted name,clonal,Tiller,aboveground,CABI,wang et al. 2016,20.43,51.05,28.53,8,3
Panicum maximum,Jacq.,大黍,Panicum maximum,禾本科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/69,Exact (with author),FALSE,1,0,429196,Panicum maximum,Jacq.,Species,Synonym,TRUE,321830-2,423373,0,5,Exact (with author),423373,60426565-2,Species,Accepted,Poaceae,NA,Megathyrsus,NA,maximus,NA,NA,Jacq.,B.K.Simon & S.W.L.Jacobs,NA,Austrobaileya,0.647222222,-2003,NA,"Trop. & S. Africa, W. Indian Ocean, Arabian Pen.",perennial or rhizomatous geophyte,seasonally dry tropical,Megathyrsus maximus,(Jacq.) B.K.Simon & S.W.L.Jacobs,423373,429196,NA,NA,423370,60426565-2,NA,Y,Matched to an accepted name,clonal,Rhizome,belowground,Flora of China,wang et al. 2016,NA,NA,NA,8,3
Paspalum distichum,L.,双穗雀稗,Paspalum distichum,禾本科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/74,Exact (with author),FALSE,1,0,431506,Paspalum distichum,L.,Species,Accepted,NA,184275-2,431506,0,2,Exact (with author),431506,184275-2,Species,Accepted,Poaceae,NA,Paspalum,NA,distichum,NA,NA,NA,L.,NA,"Syst. Nat., ed. 10.",0.677083333,-1759,NA,U.S.A. to Trop. & Subtrop. America,rhizomatous geophyte,seasonally dry tropical,Paspalum distichum,L.,431506,NA,NA,NA,431186,184275-2,NA,Y,Matched to an accepted name,NA,NA,NA,NA,wang et al. 2016,NA,NA,NA,33,3
Paspalum urvillei,Steud.,丝毛雀稗,Paspalum urvillei,禾本科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/78,Exact (with author),FALSE,1,0,432441,Paspalum urvillei,Steud.,Species,Accepted,NA,414828-1,432441,0,6,Exact (with author),432441,414828-1,Species,Accepted,Poaceae,NA,Paspalum,NA,urvillei,NA,NA,NA,Steud.,NA,Syn. Pl. Glumac.,1:24,-1853,NA,Bolivia to Brazil and S. South America,perennial,subtropical,Paspalum urvillei,Steud.,432441,NA,NA,NA,431186,414828-1,NA,Y,Matched to an accepted name,clonal,Rhizome,belowground,CABI,wang et al. 2016,43.128327847197426,36.61133386612288,20.26033828667968,8,3
Ranunculus muricatus,L.,刺果毛茛,Ranunculus muricatus,毛茛科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/86,Exact (with author),FALSE,1,0,2526257,Ranunculus muricatus,L.,Species,Accepted,NA,324977-2,2526257,0,2,Exact (with author),2526257,324977-2,Species,Accepted,Ranunculaceae,NA,Ranunculus,NA,muricatus,NA,NA,NA,L.,NA,Sp. Pl.,: 555,-1753,NA,"Medit. to C. Asia and W. Himalaya, Arabian Pen.",annual,temperate,Ranunculus muricatus,L.,2526257,NA,NA,NA,2524491,324977-2,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,NA,3
Myriophyllum aquaticum,(Vell.) Verdc.,粉绿狐尾藻,Myriophyllum aquaticum,小二仙草科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/90,Exact (with author),FALSE,1,0,2366570,Myriophyllum aquaticum,(Vell.) Verdc.,Species,Accepted,NA,166319-2,2366570,0,14,Exact (with author),2366570,166319-2,Species,Accepted,Haloragaceae,NA,Myriophyllum,NA,aquaticum,NA,NA,Vell.,Verdc.,NA,Kew Bull.,28:36:00,-1973,NA,C. & S. Trop. America,helophyte,wet tropical,Myriophyllum aquaticum,(Vell.) Verdc.,2366570,2789615,NA,NA,2366573,166319-2,NA,N,Matched to an accepted name,clonal,Shoot fragment,aboveground,WSDE,wang et al. 2016,10.46223951282964,0,89.53776048717036,NA,3
Senna obtusifolia,(L.) H. S. Irwin & Barneby,钝叶决明,Senna tora var. obtusifolia,豆科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/101,Exact (without author),FALSE,1,0,2490482,Senna obtusifolia,(L.) H.S.Irwin & Barneby,Species,Accepted,NA,234560-2,2490482,2,15,Exact (without author),2490482,234560-2,Species,Accepted,Fabaceae,NA,Senna,NA,obtusifolia,NA,NA,L.,H.S.Irwin & Barneby,NA,Mem. New York Bot. Gard.,35: 252,-1982,NA,Trop. & Subtrop. America,"annual, perennial or subshrub",seasonally dry tropical,Senna obtusifolia,(L.) H.S.Irwin & Barneby,2490482,2703655,NA,NA,2491975,234560-2,NA,Y,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,13,3
Chamaecrista mimosoides,Standl.,山扁豆,Chamaecrista mimosoides,豆科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/102,Exact (without author),FALSE,1,0,2715003,Chamaecrista mimosoides,(L.) Greene,Species,Accepted,NA,54606-2,2715003,11,-1,Exact (without author),2715003,54606-2,Species,Accepted,Fabaceae,NA,Chamaecrista,NA,mimosoides,NA,NA,L.,Greene,NA,Pittonia,4:27,-1901,NA,"Trop. & S. Africa, Trop. Asia to N. Australia","annual, perennial or subshrub",seasonally dry tropical,Chamaecrista mimosoides,(L.) Greene,2715003,2703544,NA,NA,2714614,54606-2,NA,Y,Matched to an accepted name,clonal,Root turion,belowground,"Xu & Qiang, 2011",wang et al. 2016,NA,NA,NA,23,3
Mimosa pigra,L.,刺轴含羞草,Mimosa pigra,豆科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/108,Exact (with author),FALSE,1,0,2373741,Mimosa pigra,L.,Species,Accepted,NA,313003-2,2373741,0,2,Exact (with author),2373741,313003-2,Species,Accepted,Fabaceae,NA,Mimosa,NA,pigra,NA,NA,NA,L.,NA,Cent. Pl. I,: 13,-1755,NA,Trop. & Subtrop. America,shrub,seasonally dry tropical,Mimosa pigra,L.,2373741,NA,NA,NA,2374559,313003-2,NA,Y,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,3,3
Acacia mearnsii,De Wild.,黑荆,Acacia mearnsii,豆科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/116,Exact (with author),FALSE,1,0,2612952,Acacia mearnsii,De Wild.,Species,Accepted,NA,470860-1,2612952,0,8,Exact (with author),2612952,470860-1,Species,Accepted,Fabaceae,NA,Acacia,NA,mearnsii,NA,NA,NA,De Wild.,NA,Pl. Bequaert.,0.167361111,-1925,NA,SE. Australia,tree,subtropical,Acacia mearnsii,De Wild.,2612952,NA,NA,NA,2611079,470860-1,NA,Y,Matched to an accepted name,clonal,Root turion,belowground,"Fu ZJ, 20051",wang et al. 2016,NA,NA,NA,16,3
Indigofera suffruticosa,Mill.,野青树,Indigofera suffruticosa,豆科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/127,Exact (with author),FALSE,1,0,2864784,Indigofera suffruticosa,Mill.,Species,Accepted,NA,500063-1,2864784,0,5,Exact (with author),2864784,500063-1,Species,Accepted,Fabaceae,NA,Indigofera,NA,suffruticosa,NA,NA,NA,Mill.,NA,"Gard. Dict., ed. 8.",: n.° 2,-1768,NA,Trop. & Subtrop. America,"perennial, subshrub or shrub",seasonally dry tropical,Indigofera suffruticosa,Mill.,2864784,NA,NA,NA,2863481,500063-1,NA,Y,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,15,3
Desmodium tortuosum,(Sw.) DC.,南美山蚂蝗,Desmodium tortuosum,豆科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/132,Exact (with author),FALSE,1,0,2762879,Desmodium tortuosum,(Sw.) DC.,Species,Accepted,NA,1028008-2,2762879,0,9,Exact (with author),2762879,1028008-2,Species,Accepted,Fabaceae,NA,Desmodium,NA,tortuosum,NA,NA,Sw.,DC.,NA,Prodr.,0.313888889,-1825,NA,Mexico to Trop. America,"annual, perennial or subshrub",seasonally dry tropical,Desmodium tortuosum,(Sw.) DC.,2762879,2841768,NA,NA,2762072,1028008-2,NA,Y,Matched to an accepted name,clonal,Rhizome/Root fragment,belowground,"Xu & Qiang, 2011",wang et al. 2016,74.59541005133394,13.40415297450743,12.00043697415863,13,3
Calopogonium mucunoides,Desv.,毛蔓豆,Calopogonium mucunoides,豆科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/136,Exact (with author),FALSE,1,0,2693568,Calopogonium mucunoides,Desv.,Species,Accepted,NA,483437-1,2693568,0,5,Exact (with author),2693568,483437-1,Species,Accepted,Fabaceae,NA,Calopogonium,NA,mucunoides,NA,NA,NA,Desv.,NA,Ann. Sci. Nat. (Paris),0.66875,-1826,NA,Mexico to Trop. America,scrambling annual or perennial,seasonally dry tropical,Calopogonium mucunoides,Desv.,2693568,NA,NA,NA,2693558,483437-1,NA,Y,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,5,3
Euphorbia dentata,Michx.,齿裂大戟,Euphorbia dentata,大戟科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/172,Exact (with author),FALSE,1,0,79313,Euphorbia dentata,Michx.,Species,Accepted,NA,30169241-2,79313,0,6,Exact (with author),79313,30169241-2,Species,Accepted,Euphorbiaceae,NA,Euphorbia,NA,dentata,NA,NA,NA,Michx.,NA,Fl. Bor.-Amer.,0.229861111,-1803,NA,C. & EC. U.S.A. to NE. Mexico,annual,temperate,Euphorbia dentata,Michx.,79313,NA,NA,NA,78175,30169241-2,NA,Y,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,13,3
Euphorbia hypericifolia,L.,通奶草,Euphorbia hypericifolia,大戟科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/175,Exact (with author),FALSE,1,0,80216,Euphorbia hypericifolia,L.,Species,Accepted,NA,101671-2,80216,0,2,Exact (with author),80216,101671-2,Species,Accepted,Euphorbiaceae,NA,Euphorbia,NA,hypericifolia,NA,NA,NA,L.,NA,Sp. Pl.,: 454,-1753,NA,Trop. & Subtrop. America,annual or subshrub,subtropical,Euphorbia hypericifolia,L.,80216,NA,NA,NA,78175,101671-2,NA,Y,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,21,3
Euphorbia nutans,Lagasca,美洲地锦草,Euphorbia nutans,大戟科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/179,Exact (without author),FALSE,1,0,81148,Euphorbia nutans,Lag.,Species,Accepted,NA,101777-2,81148,4,3,Exact (without author),81148,101777-2,Species,Accepted,Euphorbiaceae,NA,Euphorbia,NA,nutans,NA,NA,NA,Lag.,NA,Gen. Sp. Pl.,: 17,-1816,NA,"SE. Canada to N. Venezuela, Caribbean",annual,temperate,Euphorbia nutans,Lag.,81148,NA,NA,NA,78175,101777-2,NA,Y,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,4.903396861953324,78.20083384506512,16.90076929298156,9,3
Euphorbia peplus,L.,南欧大戟,Euphorbia peplus,大戟科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/180,Exact (with author),FALSE,1,0,81421,Euphorbia peplus,L.,Species,Accepted,NA,347724-1,81421,0,2,Exact (with author),81421,347724-1,Species,Accepted,Euphorbiaceae,NA,Euphorbia,NA,peplus,NA,NA,NA,L.,NA,Sp. Pl.,: 456,-1753,NA,"Medit. to Somalia, Europe to W. Himalaya",annual,temperate,Euphorbia peplus,L.,81421,NA,NA,NA,78175,347724-1,NA,Y,Matched to an accepted name,clonal,Root turion,belowground,CLO-PLA3,wang et al. 2016,7.245198902566164,4.415,88.33980109743385,10,3
Phyllanthus amarus,Shumach. & Thonn.,苦味叶下珠,Phyllanthus amarus,叶下珠科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/185,Exact (without author),FALSE,1,0,153315,Phyllanthus amarus,Schumach. & Thonn.,Species,Accepted,NA,326408-2,153315,1,16,Exact (without author),153315,326408-2,Species,Accepted,Phyllanthaceae,NA,Phyllanthus,NA,amarus,NA,NA,NA,Schumach. & Thonn.,NA,Beskr. Guin. Pl.,: 421,-1827,NA,S. Mexico to Trop. America,annual,seasonally dry tropical,Phyllanthus amarus,Schumach. & Thonn.,153315,NA,NA,NA,153270,326408-2,NA,Y,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,62.13412909896952,20.452137447251637,17.413733453778836,NA,3
Phyllanthus niruri,auct. non L. : P. T. Li,珠子草,Phyllanthus niruri,叶下珠科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/187,Exact (without author),FALSE,1,0,154454,Phyllanthus niruri,L.,Species,Accepted,NA,194900-2,154454,21,1,Exact (without author),154454,194900-2,Species,Accepted,Phyllanthaceae,NA,Phyllanthus,NA,niruri,NA,NA,NA,L.,NA,Sp. Pl.,: 981,-1753,NA,Trop. & Subtrop. America,annual,wet tropical,Phyllanthus niruri,L.,154454,NA,NA,NA,153270,194900-2,NA,Y,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,25,3
Passiflora foetida,L.,龙珠果,Passiflora foetida,西番莲科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/191,Exact (with author),FALSE,1,0,2559676,Passiflora foetida,L.,Species,Accepted,NA,321966-2,2559676,0,2,Exact (with author),2559676,321966-2,Species,Accepted,Passifloraceae,NA,Passiflora,NA,foetida,NA,NA,NA,L.,NA,Sp. Pl.,: 959,-1753,NA,Trop. & Subtrop. America,climbing annual or biennial,seasonally dry tropical,Passiflora foetida,L.,2559676,NA,NA,NA,2560028,321966-2,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,NA,3
Passiflora suberosa,L.,细柱西番莲,Passiflora suberosa,西番莲科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/194,Exact (with author),FALSE,1,0,2560211,Passiflora suberosa,L.,Species,Accepted,NA,321973-2,2560211,0,2,Exact (with author),2560211,321973-2,Species,Accepted,Passifloraceae,NA,Passiflora,NA,suberosa,NA,NA,NA,L.,NA,Sp. Pl.,: 958,-1753,NA,Trop. & Subtrop. America,liana,wet tropical,Passiflora suberosa,L.,2560211,NA,NA,NA,2560028,321973-2,NA,N,Matched to an accepted name,non-clonal,NA,NA,NA,wang et al. 2016,NA,NA,NA,NA,3
Oenothera laciniata,Hill,裂叶月见草,Oenothera laciniata,柳叶菜科,被子植物,3 级（局部入侵,https://www.plantplus.cn/ias/info/206,Exact (with author),FALSE,1,0,2398970,Oenothera laciniata,Hill,Species,Accepted,NA,613817-1,2398970,0,4,Exact (with author),2398970,613817-1,Species,Accepted,Onagraceae,NA,Oenothera,NA,laciniata,NA,NA,NA,Hill,NA,Hort. Kew.,: 172/4,-1768,NA,C. & E. U.S.A. to Guatemala,annual,temperate,Oenothera laciniata,Hill,2398970,NA,NA,NA,2398316,613817-1,NA,N,Matched to an accepted name,clonal,Perennial root,belowground,"Xu & Qiang, 2011",wang et al. 2016,NA,NA,NA,NA,3
